Date,Year,Type,Area,Location,Sex,Injury,Fatal,Time,Species,AgeGroup,ActivityGroup,CleanedCountry,TimeOfDay,TimePeriod,country
2017-09-20,2017.0,Unprovoked,Florida,Palm Beach County,Male,Minor injury,False,Morning,Unknown Shark,,In Water,Other/Unknown,Morning,Morning,United States
2017-09-16,2017.0,Unprovoked,Canary Islands,Gran Canaria ,Male,Unknown,False,,Porbeagle Shark,Teen,In Water,Europe,Unknown,Unknown,España
2017-09-16,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Male,Unknown,False,16h30,Unknown Shark,Adult,In Water,Other/Unknown,Afternoon,Evening,United States
2017-09-15,2017.0,Invalid,Western Cape Province,Hawston,Male,Fatal injury,False,Afternoon,Unknown Shark,Adult,In Water,Unknown,Afternoon,Afternoon,South Africa
2017-09-15,2017.0,Unknown, Upolu Island,NofoaliÂI,Male,Unknown,False,Night,Unknown Shark,,On Boat,Oceania,Overnight,Overnight,Unknown
,2017.0,Boating,Westerm Australia,Esperance,Unknown,No injury,False,,Great White Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
2017-09-13,2017.0,Unprovoked,Florida,"Ponce Inlet, Volusia County",Male,Unknown,False,18h45,Unknown Shark,Teen,In Water,Other/Unknown,Evening,Evening,United States
2017-09-10,2017.0,Unprovoked,Westerm Australia,Sam'S Creek Area,Male,Minor injury,False,15h00,Unknown Shark,,In Water,Oceania,Afternoon,Afternoon,Unknown
2017-09-10,2017.0,Unprovoked,New South Wales,Iluka Beach,Male,Minor injury,False,06h00,Great White Shark,Adult,In Water,Oceania,Morning,Morning,Australia
,2017.0,Unprovoked,,Owarigi Island,Male,Unknown,False,,Unknown Shark,,On Boat,Oceania,Unknown,Unknown,Unknown
2017-09-03,2017.0,Unprovoked,Western Cape Province,Dyer Island,Male,Fatal injury,True,Morning,Unknown Shark,,In Water,Unknown,Morning,Morning,South Africa
2017-09-03,2017.0,Unprovoked,Shizuoka Prefecture,Iwata City,Male,Unknown,False,10h00,Unknown Shark,Adult,In Water,Asia,Morning,Morning,日本
2017-09-02,2017.0,Unprovoked,Florida,"Marathon, Monroe County",Male,Unknown,False,,Nurse Shark,,In Water,Other/Unknown,Unknown,Unknown,United States
2017-09-02,2017.0,Unprovoked,Texas,"South Padre Island, Cameron County",Female,Unknown,False,,Unknown Shark,,In Water,Other/Unknown,Unknown,Unknown,United States
2017-09-02,2017.0,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Male,Minor injury,False,10h44,Unknown Shark,Teen,In Water,Other/Unknown,Morning,Morning,United States
2017-08-29,2017.0,Unprovoked,Victoria,Cathedral Rock,Male,No injury,False,10h30,Great White Shark,Adult,In Water,Oceania,Morning,Morning,Australia
2017-08-27,2017.0,Unprovoked,Florida,Bathtub Beach ,Female,Unknown,False,13h19,Unknown Shark,Child,Other/Unknown,Other/Unknown,Afternoon,Afternoon,United States
2017-08-26,2017.0,Invalid,CastellÃ³n,Grao De Moncofa,Female,Unknown,False,Midday,Unknown Shark,Child,In Water,Europe,Afternoon,Afternoon,Unknown
2017-08-26,2017.0,Unprovoked,North Island,Off Tutukaka,Male,No injury,False,,Unknown Shark,,In Water,Oceania,Unknown,Unknown,Unknown
